ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,Year,Higher Odds win,Spaces
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,1st Round,3,Gasquet R.,Di Pasquale A.,161,98,3,6,6,3,6,4,,,,,2,1,Completed,,,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,1st Round,3,Krajicek R.,Draper S.,112,137,7,6,6,4,,,,,,,2,0,Completed,1.444,2.625,2003,TRUE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,1st Round,3,Squillari F.,Ferreira W.,79,39,7,6,6,2,,,,,,,2,0,Completed,2.5,1.5,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Davydenko N.,Ljubicic I.,81,49,4,6,6,4,7,6,,,,,2,1,Completed,2.375,1.533,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Dupuis A.,Mirnyi M.,70,43,7,6,6,3,,,,,,,2,0,Completed,2.75,1.4,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Voinea A.,Kim A.,68,238,6,4,6,1,,,,,,,2,0,Completed,,,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Zabaleta M.,Verkerk M.,53,86,6,4,6,4,,,,,,,2,0,Completed,1.667,2.1,2003,TRUE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Krajicek R.,Squillari F.,112,79,6,4,6,3,,,,,,,2,0,Completed,,,2003,FALSE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Martin A.,Gasquet R.,61,161,7,5,6,1,,,,,,,2,0,Completed,1.5,2.5,2003,TRUE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Vahaly B.,Spadea V.,102,67,7,6,6,2,,,,,,,2,0,Completed,2.375,1.533,2003,FALSE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Vliegen K.,Parmar A.,164,170,6,2,6,2,,,,,,,2,0,Completed,1.909,1.8,2003,FALSE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Zabaleta M.,81,53,7,6,6,1,,,,,,,2,0,Completed,1.8,1.909,2003,TRUE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Krajicek R.,Vahaly B.,112,102,6,1,6,3,,,,,,,2,0,Completed,1.286,3.5,2003,TRUE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Vliegen K.,Martin A.,164,61,6,3,6,4,,,,,,,2,0,Completed,2.5,1.5,2003,FALSE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Voinea A.,Dupuis A.,68,70,7,6,6,4,,,,,,,2,0,Completed,1.667,2.1,2003,TRUE,
1,Adelaide,AAPT Championships,1/4/2003,International,Outdoor,Hard,Semifinals,3,Davydenko N.,Voinea A.,81,68,6,2,6,1,,,,,,,2,0,Completed,1.727,2,2003,TRUE,
1,Adelaide,AAPT Championships,1/4/2003,International,Outdoor,Hard,Semifinals,3,Vliegen K.,Krajicek R.,164,112,7,6,4,6,6,3,,,,,2,1,Completed,3.75,1.25,2003,FALSE,
1,Adelaide,AAPT Championships,1/5/2003,International,Outdoor,Hard,The Final,3,Davydenko N.,Vliegen K.,81,164,6,2,7,6,,,,,,,2,0,Completed,1.571,2.25,2003,TRUE,
2,Chennai,TATA Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Behrend T.,Portas A.,155,88,7,6,6,1,,,,,,,2,0,Completed,1.833,1.833,2003,FALSE,
2,Chennai,TATA Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Chela J.I.,Krajan Z.,23,108,3,6,6,2,2,0,,,,,1,1,Retired,1.333,3.25,2003,TRUE,
2,Chennai,TATA Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Sargsian S.,Montanes A.,103,78,6,3,6,3,,,,,,,2,0,Completed,1.667,2.1,2003,TRUE,
2,Chennai,TATA Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Srichaphan P.,Van Lottum J.,16,115,6,2,6,4,,,,,,,2,0,Completed,1.143,5,2003,TRUE,
2,Chennai,TATA Open,1/2/2003,International,Outdoor,Hard,2nd Round,3,Canas G.,Vanek J.,15,199,6,4,6,2,,,,,,,2,0,Completed,1.222,4,2003,TRUE,
2,Chennai,TATA Open,1/2/2003,International,Outdoor,Hard,2nd Round,3,Kucera K.,Mamiit C.,83,111,7,6,3,6,6,3,,,,,2,1,Completed,1.571,2.25,2003,TRUE,
2,Chennai,TATA Open,1/2/2003,International,Outdoor,Hard,2nd Round,3,Lisnard J.R.,Okun N.,105,128,6,0,2,6,6,2,,,,,2,1,Completed,1.8,1.909,2003,TRUE,
2,Chennai,TATA Open,1/2/2003,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Philippoussis M.,33,80,6,2,6,1,,,,,,,2,0,Completed,1.833,1.833,2003,FALSE,
2,Chennai,TATA Open,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Chela J.I.,Behrend T.,23,155,6,4,6,3,,,,,,,2,0,Completed,1.333,3.25,2003,TRUE,
2,Chennai,TATA Open,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Kucera K.,Canas G.,83,15,6,1,7,5,,,,,,,2,0,Completed,3.25,1.333,2003,FALSE,
2,Chennai,TATA Open,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Lisnard J.R.,Schuettler R.,105,33,6,2,7,5,,,,,,,2,0,Completed,3.5,1.286,2003,FALSE,
2,Chennai,TATA Open,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Srichaphan P.,Sargsian S.,16,103,6,4,6,4,,,,,,,2,0,Completed,1.167,4.5,2003,TRUE,
2,Chennai,TATA Open,1/4/2003,International,Outdoor,Hard,Semifinals,3,Kucera K.,Chela J.I.,83,23,6,3,7,5,,,,,,,2,0,Completed,2.25,1.571,2003,FALSE,
2,Chennai,TATA Open,1/4/2003,International,Outdoor,Hard,Semifinals,3,Srichaphan P.,Lisnard J.R.,16,105,6,2,6,1,,,,,,,2,0,Completed,1.167,4.5,2003,TRUE,
2,Chennai,TATA Open,1/5/2003,International,Outdoor,Hard,The Final,3,Srichaphan P.,Kucera K.,16,83,6,2,6,1,,,,,,,2,0,Completed,1.333,3.25,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,El Aynaoui Y.,Arazi H.,22,90,6,4,7,6,,,,,,,2,0,Completed,1.444,2.625,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Federer R.,Kratochvil M.,6,69,6,4,6,4,,,,,,,2,0,Completed,1.167,4.5,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Gambill J.M.,Ferrer D.,42,59,7,6,6,4,,,,,,,2,0,Completed,1.4,2.75,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Koubek S.,Voltchkov V.,54,73,6,1,6,1,,,,,,,2,0,Completed,1.615,2.2,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Santoro F.,Rochus C.,35,143,7,5,6,7,7,5,,,,,2,1,Completed,1.444,2.625,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Vicente F.,Hantschek M.,58,312,7,5,7,6,,,,,,,2,0,Completed,,,2003,FALSE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Vinciguerra A.,Costa A.,180,9,3,6,7,6,7,5,,,,,2,1,Completed,,,2003,FALSE,
3,Doha,Qatar Exxon Mobil Open,1/1/2003,International,Outdoor,Hard,2nd Round,3,Youzhny M.,Stepanek R.,32,63,6,3,6,1,,,,,,,2,0,Completed,1.5,2.5,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/2/2003,International,Outdoor,Hard,Quarterfinals,3,El Aynaoui Y.,Santoro F.,22,35,3,6,6,3,6,3,,,,,2,1,Completed,1.615,2.2,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/2/2003,International,Outdoor,Hard,Quarterfinals,3,Gambill J.M.,Federer R.,42,6,6,4,7,5,,,,,,,2,0,Completed,3.5,1.286,2003,FALSE,
3,Doha,Qatar Exxon Mobil Open,1/2/2003,International,Outdoor,Hard,Quarterfinals,3,Koubek S.,Vinciguerra A.,54,180,6,3,6,4,,,,,,,2,0,Completed,1.667,2.1,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/2/2003,International,Outdoor,Hard,Quarterfinals,3,Youzhny M.,Vicente F.,32,58,7,6,6,3,,,,,,,2,0,Completed,1.4,2.75,2003,TRUE,
3,Doha,Qatar Exxon Mobil Open,1/3/2003,International,Outdoor,Hard,Semifinals,3,Gambill J.M.,Youzhny M.,42,32,6,4,6,2,,,,,,,2,0,Completed,1.833,1.833,2003,FALSE,
3,Doha,Qatar Exxon Mobil Open,1/3/2003,International,Outdoor,Hard,Semifinals,3,Koubek S.,El Aynaoui Y.,54,22,7,6,7,6,,,,,,,2,0,Completed,2.5,1.5,2003,FALSE,
3,Doha,Qatar Exxon Mobil Open,1/4/2003,International,Outdoor,Hard,The Final,3,Koubek S.,Gambill J.M.,54,42,6,4,6,4,,,,,,,2,0,Completed,2.25,1.571,2003,FALSE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Carlsen K.,Sa A.,64,65,6,7,7,5,6,4,,,,,2,1,Completed,1.727,2,2003,TRUE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Coria G.,Sanchez D.,45,60,2,6,6,2,6,4,,,,,2,1,Completed,1.444,2.625,2003,TRUE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Ferrer D.,Martin A.,58,66,6,3,6,2,,,,,,,2,0,Completed,2.2,1.615,2003,FALSE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Rea S.,51,983,6,4,6,2,,,,,,,2,0,Completed,,,2003,FALSE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Mantilla F.,Acasuso J.,77,43,6,3,7,5,,,,,,,2,0,Completed,1.571,2.25,2003,TRUE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Russell M.,Stepanek R.,159,68,7,6,6,4,,,,,,,2,0,Completed,2.5,1.5,2003,FALSE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Spadea V.,Dupuis A.,67,69,6,3,6,4,,,,,,,2,0,Completed,,,2003,FALSE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Vicente F.,Horna L.,57,87,4,6,7,6,6,2,,,,,2,1,Completed,1.444,2.625,2003,TRUE,
4,Auckland,Heineken Open,1/6/2003,International,Outdoor,Hard,1st Round,3,Zabaleta M.,Nalbandian D.,48,12,2,6,7,6,6,3,,,,,2,1,Completed,2.25,1.571,2003,FALSE,
4,Auckland,Heineken Open,1/7/2003,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Kratochvil M.,33,70,6,1,6,3,,,,,,,2,0,Completed,1.364,2.875,2003,TRUE,
4,Auckland,Heineken Open,1/7/2003,International,Outdoor,Hard,1st Round,3,Ginepri R.,Calleri A.,102,50,7,6,7,5,,,,,,,2,0,Completed,2.1,1.667,2003,FALSE,
4,Auckland,Heineken Open,1/7/2003,International,Outdoor,Hard,1st Round,3,Gonzalez F.,Lopez F.,17,62,3,6,7,6,6,2,,,,,2,1,Completed,1.364,2.875,2003,TRUE,
4,Auckland,Heineken Open,1/7/2003,International,Outdoor,Hard,1st Round,3,Koubek S.,Nielsen M.,40,302,6,3,6,2,,,,,,,2,0,Completed,1.143,5,2003,TRUE,
4,Auckland,Heineken Open,1/7/2003,International,Outdoor,Hard,1st Round,3,Kuerten G.,Verkerk M.,37,84,7,6,6,4,,,,,,,2,0,Completed,1.333,3,2003,TRUE,
4,Auckland,Heineken Open,1/7/2003,International,Outdoor,Hard,1st Round,3,Novak J.,Kendrick R.,7,176,6,2,6,3,,,,,,,2,0,Completed,1.125,5.5,2003,TRUE,
4,Auckland,Heineken Open,1/7/2003,International,Outdoor,Hard,1st Round,3,Sluiter R.,Sanguinetti D.,72,47,6,3,6,3,,,,,,,2,0,Completed,1.909,1.8,2003,FALSE,
4,Auckland,Heineken Open,1/8/2003,International,Outdoor,Hard,2nd Round,3,Coria G.,Vicente F.,45,57,6,2,6,2,,,,,,,2,0,Completed,1.571,2.25,2003,TRUE,
4,Auckland,Heineken Open,1/8/2003,International,Outdoor,Hard,2nd Round,3,Ferrer D.,Gonzalez F.,58,17,6,4,6,3,,,,,,,2,0,Completed,3,1.364,2003,FALSE,
4,Auckland,Heineken Open,1/8/2003,International,Outdoor,Hard,2nd Round,3,Hrbaty D.,Gambill J.M.,51,33,6,3,6,7,7,6,,,,,2,1,Completed,2.625,1.444,2003,FALSE,
4,Auckland,Heineken Open,1/8/2003,International,Outdoor,Hard,2nd Round,3,Mantilla F.,Carlsen K.,77,64,6,4,6,4,,,,,,,2,0,Completed,1.727,2,2003,TRUE,
4,Auckland,Heineken Open,1/8/2003,International,Outdoor,Hard,2nd Round,3,Novak J.,Ginepri R.,7,102,1,6,7,6,6,3,,,,,2,1,Completed,1.2,4.333,2003,TRUE,
4,Auckland,Heineken Open,1/8/2003,International,Outdoor,Hard,2nd Round,3,Zabaleta M.,Spadea V.,48,67,6,4,6,3,,,,,,,2,0,Completed,1.727,2,2003,TRUE,
4,Auckland,Heineken Open,1/9/2003,International,Outdoor,Hard,2nd Round,3,Koubek S.,Sluiter R.,40,72,6,3,3,6,6,1,,,,,2,1,Completed,1.5,2.5,2003,TRUE,
4,Auckland,Heineken Open,1/9/2003,International,Outdoor,Hard,2nd Round,3,Kuerten G.,Russell M.,37,159,4,6,6,4,6,2,,,,,2,1,Completed,1.25,3.75,2003,TRUE,
4,Auckland,Heineken Open,1/10/2003,International,Outdoor,Hard,Quarterfinals,3,Hrbaty D.,Ferrer D.,51,58,7,5,6,3,,,,,,,2,0,Completed,1.727,2,2003,TRUE,
4,Auckland,Heineken Open,1/10/2003,International,Outdoor,Hard,Quarterfinals,3,Kuerten G.,Coria G.,37,45,7,5,4,6,6,2,,,,,2,1,Completed,1.571,2.25,2003,TRUE,
4,Auckland,Heineken Open,1/10/2003,International,Outdoor,Hard,Quarterfinals,3,Mantilla F.,Novak J.,77,7,6,7,6,2,7,6,,,,,2,1,Completed,2.75,1.4,2003,FALSE,
4,Auckland,Heineken Open,1/10/2003,International,Outdoor,Hard,Quarterfinals,3,Zabaleta M.,Koubek S.,48,40,6,2,6,1,,,,,,,2,0,Completed,2.2,1.615,2003,FALSE,
4,Auckland,Heineken Open,1/11/2003,International,Outdoor,Hard,Semifinals,3,Hrbaty D.,Mantilla F.,51,77,6,2,6,2,,,,,,,2,0,Completed,,,2003,FALSE,
4,Auckland,Heineken Open,1/11/2003,International,Outdoor,Hard,Semifinals,3,Kuerten G.,Zabaleta M.,37,48,6,3,6,3,,,,,,,2,0,Completed,,,2003,FALSE,
4,Auckland,Heineken Open,1/12/2003,International,Outdoor,Hard,The Final,3,Kuerten G.,Hrbaty D.,37,51,6,3,7,5,,,,,,,2,0,Completed,1.533,2.375,2003,TRUE,
5,Sydney,adidas International,1/6/2003,International,Outdoor,Hard,1st Round,3,Ferreira W.,Enqvist T.,41,46,6,2,6,4,,,,,,,2,0,Completed,1.833,1.833,2003,FALSE,
5,Sydney,adidas International,1/6/2003,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,Crabb J.,4,217,5,7,7,5,6,3,,,,,2,1,Completed,,,2003,FALSE,
5,Sydney,adidas International,1/6/2003,International,Outdoor,Hard,1st Round,3,Gaudio G.,Reid T.,21,306,6,2,7,5,,,,,,,2,0,Completed,1.25,3.5,2003,TRUE,
5,Sydney,adidas International,1/6/2003,International,Outdoor,Hard,1st Round,3,Nieminen J.,Luczak P.,42,185,6,0,3,6,7,5,,,,,2,1,Completed,,,2003,FALSE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Chela J.I.,Costa A.,23,8,7,6,6,1,,,,,,,2,0,Completed,1.615,2.2,2003,TRUE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Davydenko N.,Durek R.,61,763,6,3,6,4,,,,,,,2,0,Completed,,,2003,FALSE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Fish M.,Krajicek R.,83,92,7,6,6,4,,,,,,,2,0,Completed,2.625,1.444,2003,FALSE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Lee H.T.,Lapentti G.,85,279,6,2,6,0,,,,,,,2,0,Completed,2.5,1.5,2003,FALSE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Mirnyi M.,Malisse X.,44,25,7,6,6,7,6,3,,,,,2,1,Completed,2.1,1.667,2003,FALSE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Moya C.,Blake J.,5,28,6,3,6,7,6,3,,,,,2,1,Completed,1.727,2,2003,TRUE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Roddick A.,Robredo T.,10,31,6,2,6,2,,,,,,,2,0,Completed,1.364,2.875,2003,TRUE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Safin M.,Rochus O.,3,63,6,1,6,4,,,,,,,2,0,Completed,1.2,4,2003,TRUE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Schuettler R.,Ljubicic I.,38,49,6,2,7,6,,,,,,,2,0,Completed,1.727,2,2003,TRUE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Squillari F.,Federer R.,81,6,6,2,6,3,,,,,,,2,0,Completed,5,1.143,2003,FALSE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Srichaphan P.,Draper S.,14,141,6,4,3,6,6,1,,,,,2,1,Completed,1.167,4.5,2003,TRUE,
5,Sydney,adidas International,1/7/2003,International,Outdoor,Hard,1st Round,3,Youzhny M.,Voinea A.,30,59,3,6,2,1,,,,,,,0,1,Retired,1.444,2.625,2003,TRUE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Ferreira W.,Chela J.I.,41,23,6,7,6,4,6,4,,,,,2,1,Completed,2,1.727,2003,FALSE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Youzhny M.,4,30,6,3,6,2,,,,,,,2,0,Completed,1.5,2.5,2003,TRUE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Fish M.,Moya C.,83,5,7,6,4,6,6,4,,,,,2,1,Completed,3.25,1.333,2003,FALSE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Lee H.T.,Roddick A.,85,10,7,6,7,5,,,,,,,2,0,Completed,3.75,1.25,2003,FALSE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Safin M.,Nieminen J.,3,42,3,6,6,1,6,2,,,,,2,1,Completed,1.25,3.75,2003,TRUE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Gaudio G.,38,21,7,6,6,0,,,,,,,2,0,Completed,1.727,2,2003,TRUE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Squillari F.,Davydenko N.,81,61,6,1,6,4,,,,,,,2,0,Completed,2.2,1.615,2003,FALSE,
5,Sydney,adidas International,1/8/2003,International,Outdoor,Hard,2nd Round,3,Srichaphan P.,Mirnyi M.,14,44,3,6,6,4,6,4,,,,,2,1,Completed,1.5,2.5,2003,TRUE,
5,Sydney,adidas International,1/9/2003,International,Outdoor,Hard,Quarterfinals,3,Ferreira W.,Squillari F.,41,81,6,0,6,4,,,,,,,2,0,Completed,1.571,2.25,2003,TRUE,
5,Sydney,adidas International,1/9/2003,International,Outdoor,Hard,Quarterfinals,3,Ferrero J.C.,Srichaphan P.,4,14,6,3,6,1,,,,,,,2,0,Completed,1.833,1.833,2003,FALSE,
5,Sydney,adidas International,1/9/2003,International,Outdoor,Hard,Quarterfinals,3,Lee H.T.,Safin M.,85,3,,,,,,,,,,,0,0,Walkover,2.875,1.364,2003,FALSE,
5,Sydney,adidas International,1/9/2003,International,Outdoor,Hard,Quarterfinals,3,Schuettler R.,Fish M.,38,83,7,6,6,4,,,,,,,2,0,Completed,1.615,2.2,2003,TRUE,
5,Sydney,adidas International,1/10/2003,International,Outdoor,Hard,Semifinals,3,Ferrero J.C.,Schuettler R.,4,38,3,6,6,3,6,2,,,,,2,1,Completed,1.444,2.625,2003,TRUE,
5,Sydney,adidas International,1/10/2003,International,Outdoor,Hard,Semifinals,3,Lee H.T.,Ferreira W.,85,41,6,3,6,3,,,,,,,2,0,Completed,,,2003,FALSE,
5,Sydney,adidas International,1/11/2003,International,Outdoor,Hard,The Final,3,Lee H.T.,Ferrero J.C.,85,4,4,6,7,6,7,6,,,,,2,1,Completed,3,1.364,2003,FALSE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Vahaly B.,2,93,7,5,6,3,6,3,,,,,3,0,Completed,1.063,7.5,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Waske A.,88,120,6,3,6,4,7,6,,,,,3,0,Completed,1.727,2,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Daniel M.,52,241,6,7,3,6,7,6,6,4,6,4,3,2,Completed,1.364,3,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Voltchkov V.,18,71,6,3,7,5,6,3,,,,,3,0,Completed,1.25,3.75,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Coria G.,Clavet F.,45,118,6,4,7,5,6,1,,,,,3,0,Completed,1.25,3.4,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,Prinosil D.,8,213,6,4,6,1,3,6,7,6,,,3,1,Completed,1.333,3.25,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Draper S.,Kim A.,139,116,7,5,6,3,3,6,6,3,,,3,1,Completed,1.667,2.1,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Motomura G.,37,233,6,1,2,6,6,3,6,2,,,3,1,Completed,1.083,7,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Robredo T.,39,32,5,7,6,0,6,3,6,4,,,3,1,Completed,1.615,2.2,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Squillari F.,4,79,7,6,3,6,6,2,6,3,,,3,1,Completed,1.2,4.333,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Johansson J.,77,221,6,3,7,5,6,2,,,,,3,0,Completed,1.333,3.25,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Furlan R.,Pavel A.,184,25,4,1,,,,,,,,,0,0,Retired,3.25,1.333,2003,FALSE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Llodra M.,33,110,6,2,7,5,6,7,2,6,6,2,3,2,Completed,1.25,3.5,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Gaudio G.,Enqvist T.,21,47,7,5,7,5,6,2,,,,,3,0,Completed,2,1.727,2003,FALSE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Meligeni F.,16,75,6,4,6,2,6,3,,,,,3,0,Completed,1.125,5.5,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Morrison J.,27,99,7,6,6,3,4,6,6,3,,,3,1,Completed,1.444,2.625,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Kratochvil M.,Sanguinetti D.,78,48,6,3,6,0,6,3,,,,,3,0,Completed,1.727,2,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Kucera K.,Vacek J.,80,111,6,2,6,1,6,4,,,,,3,0,Completed,1.4,2.75,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Benneteau J.,30,253,6,0,6,4,6,0,,,,,3,0,Completed,1.286,3.5,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Lee H.T.,Ferrer D.,67,54,5,7,6,2,6,2,6,3,,,3,1,Completed,1.615,2.2,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Lisnard J.R.,Gaudenzi A.,89,121,6,4,2,6,6,1,4,6,6,1,3,2,Completed,1.5,2.5,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Luczak P.,Savolt A.,178,97,7,5,6,2,6,4,,,,,3,0,Completed,1.727,2,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Mantilla F.,Zabaleta M.,73,46,4,6,7,5,6,3,4,6,6,4,3,2,Completed,1.833,1.833,2003,FALSE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Norman D.,5,98,7,5,6,3,6,4,,,,,3,0,Completed,1.083,7,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Davydenko N.,41,61,6,3,3,6,3,6,6,2,7,5,3,2,Completed,1.833,1.833,2003,FALSE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Philippoussis M.,Verkerk M.,104,85,6,4,6,4,6,7,6,3,,,3,1,Completed,1.286,3.5,2003,TRUE,
6,Melbourne,Australian Open,1/13/2003,Grand Slam,Outdoor,Hard,1st Round,5,Rochus C.,Labadze I.,135,95,6,2,6,3,6,4,,,,,3,0,Completed,1.727,2,2003,TRUE,
