winner_name,loser_name,ranking_difference,height_difference,age_difference,player1_hand,player2_hand,player1_h2h_win_pct,match_type,player1_recent_win_pct,player2_recent_win_pct,target
Robin Soderling,Marcos Baghdatis,13.0,10.0,0.8000000000000007,1,1,0.5,0,1.0,1.0,7.0
Stefan Koubek,Julien Benneteau,40.0,-10.0,4.899999999999999,0,1,0.5,0,1.0,1.0,9.0
Ivan Ljubicic,Mikhail Youzhny,-19.0,10.0,3.1999999999999993,1,1,0.5,0,1.0,1.0,-2.0
Carlos Moya,Ivo Karlovic,-55.0,-18.0,2.5,1,1,0.5,0,1.0,1.0,3.0
Andy Murray,Nikolay Davydenko,14.0,12.0,-5.899999999999999,1,1,0.5,0,1.0,1.0,6.0
Xavier Malisse,Rafael Nadal,35.0,0.0,5.899999999999999,1,0,0.5,0,1.0,1.0,3.0
Ivan Ljubicic,Robin Soderling,-20.0,0.0,5.399999999999999,1,1,0.5,0,1.0,1.0,0.0
Stefan Koubek,Carlos Moya,37.0,-15.0,-0.40000000000000213,0,1,0.5,0,1.0,1.0,8.0
Ivan Ljubicic,Andy Murray,-12.0,3.0,8.099999999999998,1,1,0.5,0,1.0,1.0,4.0
Xavier Malisse,Stefan Koubek,-43.0,10.0,-3.5,1,0,0.5,0,1.0,1.0,8.0
Paul Henri Mathieu,Jan Hernych,-20.0,-5.0,-2.5,1,1,0.5,0,0.5,0.5,4.0
Juan Martin del Potro,Paul Henri Mathieu,37.0,13.0,-6.699999999999999,1,1,0.5,0,0.5,1.0,-2.0
Evgeny Korolev,Nathan Healey,-60.0,5.0,-8.0,1,1,0.5,0,0.5,0.5,4.0
Radek Stepanek,Evgeny Korolev,-83.0,0.0,9.2,1,1,0.5,0,0.5,1.0,6.0
Vincent Spadea,Evgeny Korolev,-29.0,-2.0,13.599999999999998,1,1,0.5,0,0.5,0.5,6.0
Paul Goldstein,Dominik Hrbaty,49.0,-5.0,1.5,1,1,0.5,0,0.5,0.5,5.0
Peter Luczak,Dominik Hrbaty,145.0,0.0,-1.5999999999999979,1,1,0.5,0,0.5,0.0,4.0
Vincent Spadea,Radek Stepanek,54.0,-2.0,4.399999999999999,1,1,0.5,0,1.0,1.0,4.0
Joachim Johansson,Vincent Spadea,120.0,15.0,-7.899999999999999,1,1,0.5,0,0.5,1.0,4.0
Frank Dancevic,Paul Baccanello,-188.0,2.0,-5.300000000000001,1,1,0.5,0,0.5,0.5,6.0
Joachim Johansson,Lukas Dlouhy,94.0,13.0,0.8000000000000007,1,1,0.5,0,1.0,0.5,4.0
Joachim Johansson,Gilles Simon,148.0,15.0,2.5,1,1,0.5,0,1.0,0.5,4.0
Florent Serra,Joachim Johansson,-133.0,-18.0,1.3000000000000007,1,1,0.5,0,0.5,1.0,1.0
Novak Djokovic,Joachim Johansson,-177.0,-10.0,-4.899999999999999,1,1,0.5,0,0.5,0.75,7.0
Chris Guccione,Amer Delic,60.0,5.0,-3.1000000000000014,0,1,0.5,0,0.5,0.5,3.0
Alun Jones,Gilles Muller,96.0,-13.0,3.0,1,0,0.5,0,0.5,0.5,6.0
Peter Luczak,Martin Vassallo Arguello,85.0,0.0,0.5,1,1,0.5,0,1.0,0.5,5.0
Igor Kunitsyn,Martin Vassallo Arguello,13.0,-3.0,-1.6000000000000014,1,1,0.5,0,0.5,0.0,6.0
Igor Kunitsyn,Wesley Moodie,-28.0,-16.0,-2.6000000000000014,1,1,0.5,0,1.0,0.5,3.0
Igor Kunitsyn,Lleyton Hewitt,74.0,0.0,-0.6000000000000014,1,1,0.5,0,1.0,0.5,1.0
Juan Martin del Potro,Igor Kunitsyn,-2.0,18.0,-7.0,1,1,0.5,0,1.0,1.0,10.0
Richard Gasquet,Frank Dancevic,-70.0,0.0,-1.6999999999999993,1,1,0.5,0,0.5,1.0,3.0
Florian Mayer,Frank Dancevic,-32.0,5.0,1.0,1,1,0.5,0,0.5,0.5,4.0
Arnaud Clement,Benjamin Becker,-16.0,-5.0,3.5,1,1,0.5,0,0.5,0.5,7.0
Chris Guccione,Benjamin Becker,95.0,23.0,-4.100000000000001,0,1,0.5,0,1.0,0.0,5.0
Lleyton Hewitt,Janko Tipsarevic,-44.0,0.0,3.3000000000000007,1,1,0.5,0,0.0,0.5,7.0
Richard Gasquet,Florian Mayer,-38.0,-5.0,-2.6999999999999993,1,1,0.5,0,1.0,1.0,9.0
Chris Guccione,Richard Gasquet,135.0,16.0,0.8999999999999986,0,1,0.5,0,1.0,1.0,-1.0
Gilles Simon,Florent Serra,-15.0,3.0,-3.8000000000000007,1,1,0.5,0,0.0,1.0,2.0
Chris Guccione,Arnaud Clement,111.0,28.0,-7.600000000000001,0,1,0.5,0,1.0,1.0,2.0
Novak Djokovic,Jan Hajek,-60.0,8.0,-3.799999999999997,1,1,0.5,0,1.0,0.5,11.0
Novak Djokovic,Alun Jones,-184.0,8.0,-7.0,1,1,0.5,0,1.0,1.0,9.0
Novak Djokovic,Paul Goldstein,-54.0,10.0,-10.799999999999997,1,1,0.5,0,1.0,1.0,4.0
Novak Djokovic,Chris Guccione,-137.0,-13.0,-1.7999999999999972,1,0,0.5,0,1.0,1.0,4.0
Juan Martin del Potro,Go Soeda,-96.0,20.0,-4.100000000000001,1,1,0.5,0,1.0,0.5,7.0
Alun Jones,Jan Hajek,124.0,0.0,3.200000000000003,1,1,0.5,0,0.5,0.0,7.0
Chris Guccione,Juan Martin del Potro,61.0,3.0,3.1999999999999993,0,1,0.5,0,0.8,1.0,3.0
Paul Goldstein,Peter Luczak,-96.0,-5.0,3.099999999999998,1,1,0.5,0,0.5,1.0,6.0
Juan Martin del Potro,Jan Hernych,17.0,8.0,-9.2,1,1,0.5,0,0.75,0.0,6.0
Tommy Robredo,Ruben Ramirez Hidalgo,-49.0,-3.0,-4.399999999999999,1,1,0.5,0,0.5,0.5,9.0
Chris Guccione,Rafael Nadal,105.0,16.0,0.8999999999999986,0,0,0.5,0,0.8,0.75,1.0
Alberto Martin,Gael Monfils,1.0,-18.0,8.0,1,1,0.5,0,0.0,0.5,4.0
