playerA_market_prob,bookie_margin,pA_fatigue_load,fatigue_load_diff,pA_fatigue_tax,fatigue_tax_diff,playerA_surface_elo,surface_elo_diff,binary_target,playerA_points_won_pct,minutes
0.625,0.0667,0.0,0.0,0.0,0.0,1557.6026845443023,99.53274759060264,0,0.4671,90.0
0.3549,0.0735,0.0,0.0,0.0,0.0,1500.0,3.7489266877641967,0,0.4754,60.0
0.2059,0.0791,31.5,-26.5,-0.0658766158861564,-0.0872485506620253,1484.150423543464,-215.2351460701659,0,0.4661,68.0
0.3373,0.0779,63.5,24.0,0.0,-0.0310107736230436,1543.516290711715,44.88680623974415,0,0.4748,129.0
0.5,0.0911,35.0,29.0,0.0,0.0081236920603504,1525.2805063702592,105.9287623244088,1,0.5766,68.0
0.625,0.0667,83.0,27.0,0.12794109433584122,-0.0509151340589641,1518.4720728424666,-29.07742758346717,1,0.6082,61.0
0.4425,0.0761,37.5,10.5,0.0,-0.0755199262454414,1480.4711516189786,7.460212959056207,0,0.4112,67.0
0.3549,0.0735,30.0,-9.0,-0.0987526821877592,-0.1570525661611071,1448.8973685897995,-58.53094189292142,0,0.4737,184.0
0.3549,0.0735,34.0,-5.5,-0.1052985538938523,-0.0058971425430524,1514.145760154271,60.41050698167601,0,0.4429,67.0
0.6077,0.0734,37.5,3.5,-0.1202444333031104,0.0344173835499759,1577.2827362000644,82.98501919938644,0,0.4829,158.0
0.5767,0.0737,46.0,-20.0,0.12794109433584122,0.2019230888032156,1433.597559352108,-9.20584473799272,1,0.6667,66.0
0.5575,0.0761,41.0,-12.0,0.0722333984002435,-0.0478534910939509,1450.3574330858453,41.53243241440168,1,0.5586,72.0
0.8139,0.0749,38.0,2.5,-0.0269403433561341,-0.0269403433561341,1563.0870363673937,83.7950961137044,1,0.5816,63.0
0.6627,0.0779,36.5,1.5,0.0481053688717539,0.0003377422755703,1458.4645124295434,29.852629433512902,0,0.4508,76.0
0.766,0.0683,39.95153313703994,18.03122292025696,0.1078081963216671,0.1078081963216671,1600.486458007905,187.09958353626484,1,0.5702,70.0
0.4111,0.081,22.62741699796952,-21.920310216782976,0.0,0.0233613267686899,1465.955450107047,-22.51193962680759,0,0.4924,150.0
0.6077,0.0734,24.39518395093589,1.4142135623730958,-0.06912124023563,-0.06912124023563,1424.755647987227,-54.94311883262776,0,0.4394,85.0
0.4853,0.0794,32.88046532517446,-18.384776310850235,0.0,0.0,1500.0,0.0,1,0.6111,51.0
0.375,0.0667,89.80256121069154,67.17514421272202,0.0,0.0786775035168656,1514.619079857303,72.12307952446668,0,0.4261,68.0
0.5,0.0911,28.99137802864845,1.0606601717798227,0.0133198574992191,0.1529701547514527,1591.422589332805,116.63046893569684,1,0.6875,51.0
0.5147,0.0794,22.980970388562795,-8.838834764831844,0.0,0.0,1453.168344308237,3.5641111172444653,1,0.5695,112.0
0.7313,0.0633,89.095454429505,-30.05203820042827,0.0321543597023079,-0.0237662540273605,1704.776240822948,192.6049894617579,0,0.4558,94.0
0.6627,0.0779,101.82337649086284,-20.5060966544099,0.12794109433584122,0.29296011411411677,1531.4740333668865,80.20351959415211,1,0.5241,109.0
0.5767,0.0737,75.30687219636732,-82.37794000823277,-0.1169483959209414,-0.056564039968946,1467.8009825048546,-49.624650877319255,1,0.5169,123.0
0.5575,0.0761,79.19595949289332,-45.961940777125605,0.12794109433584122,0.29296011411411677,1445.9154435764904,-82.84063410192334,1,0.6,66.0
0.2687,0.0633,76.35407640085654,-1.7291847198286945,0.0,0.0,1489.816760997172,-29.36023934680497,0,0.4257,57.0
0.7091,0.0579,77.74747468305833,-59.81854249492381,0.12794109433584122,0.1550465771349287,1606.584093262844,106.89315208456992,0,0.437,99.0
0.375,0.0667,59.31244584051392,-4.770815280171313,0.0,0.1920299193980241,1516.0,59.048132168898746,1,0.5625,69.0
0.7091,0.0579,75.0,23.5,0.12794109433584122,0.29296011411411677,1548.300419412947,14.569260288706118,1,0.5726,80.0
0.7313,0.0633,56.56244584051392,-38.8835136523794,0.0287058703350945,0.0287058703350945,1599.539104694985,134.49385610577383,0,0.4552,90.0
0.5147,0.0794,96.0,49.0,-0.144390965525318,-0.292220855280429,1509.110628759788,23.842063064910008,1,0.5672,91.0
0.7941,0.0791,50.5,-6.0,-0.0322475671109887,-0.1553544485146942,1572.247697420467,111.31794975441562,1,0.553,83.0
0.4425,0.0761,55.5,-12.0,0.1033443962438086,0.1033443962438086,1441.6404263833824,-41.74289639901576,0,0.4658,90.0
0.5,0.0911,150.7180374315355,1.6433982822018152,0.1161471638043871,0.0018781476758436,1530.2166364492753,-10.53544470021393,1,0.5462,82.0
0.375,0.0667,102.66904755831214,-37.55508652763322,0.12794109433584122,0.29296011411411677,1460.7236420100992,-20.77975408633188,1,0.5127,102.0
0.4111,0.081,167.27743494484446,57.67588386092959,0.1042266243481754,-0.292220855280429,1515.270658224785,-44.52685150831462,1,0.5669,90.0
0.75,0.0667,95.51828996322963,4.787689398770624,0.0,0.0,1530.16534060804,-1.442574726281464,0,0.4975,111.0
0.2059,0.0791,131.13009550107068,36.73134021266658,0.0,0.0452847451873659,1481.4715842581843,-99.05770331785038,0,0.3596,50.0
0.5366,0.079,132.2289680818844,20.859650045003164,-0.144390965525318,-0.292220855280429,1520.2884432578244,26.339971653064595,1,0.63,57.0
0.4111,0.081,144.7228714274745,-19.83363094478904,0.12794109433584122,0.0532446357065732,1473.4404947402718,-69.13991158770159,1,0.5421,83.0
0.5889,0.081,133.80508652763322,-8.839989104330527,-0.144390965525318,-0.2283635234131406,1531.3804318111834,-12.17765904355224,1,0.5385,76.0
0.2909,0.0579,181.92261889578035,79.81727983645297,0.12794109433584122,0.2649907558234984,1528.8001963193888,-60.39754580726867,0,0.4038,68.0
0.4634,0.079,0.0,-8.220116331293616,0.0,0.0382825324714271,1443.6099224788077,-71.97111878931491,0,0.4791,157.0
0.5889,0.081,6.894291116568839,6.894291116568839,-0.0540180976836065,-0.0540180976836065,1433.339292384196,-41.22158130347157,1,0.578,68.0
0.5767,0.0737,47.05203820042827,13.022524355825666,-0.144390965525318,-0.1840253011506042,1446.9719061980256,-78.46376502321277,0,0.438,72.0
0.5,0.0911,8.220116331293616,-7.689786245403704,-0.0263210668447019,-0.0873223226177891,1449.997010692102,-92.25899135940152,0,0.4286,67.0
0.2632,0.0857,6.098795987733973,6.098795987733973,0.0,0.0,1479.7193108336198,-17.071958154141612,0,0.4453,90.0
0.6451,0.0735,0.0,-14.672465709620862,0.0,-0.0070680883017629,1629.0223745127544,230.55810694038087,1,0.4971,117.0
0.3549,0.0735,0.0,-57.832368286318186,0.0,0.29296011411411677,1465.3968116401918,23.404345650060577,0,0.4641,133.0
