PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,binary_target,playerA_points_won_pct,minutes,playerA,playerB,pseudo_date
0.401068962506417,0.5621987474980433,-0.668546262189167,-0.02045583510995248,0.9058909682519894,-0.09694560261215228,-0.045341807562204475,0.09632675266925542,0,,,,,
-0.9023009148791252,0.5197150798693357,-0.6279359804317322,0.10985608513957537,0.45203924971089926,0.15231888317678985,0.2995594376196006,0.42946264398335976,0,,,,,
-2.0501953168457447,-0.6994382883503372,-1.10198208644977,-0.3332018398617837,-0.6878244201054827,0.06763401912323597,0.20342154318262806,-0.03559343477044821,0,,,,,
-0.570133227280072,-0.2523658749223982,0.03537476724539384,0.8266286651897223,-0.10377838919922303,0.39482095407865636,0.07599178938538288,0.6732738490893438,0,,,,,
-0.24745240044256553,0.4159328361210301,-0.6977218575515457,1.8252469316943516,-0.15230240475983156,0.15554268227515755,0.2271841265351247,0.409412083759358,1,,,,,
-0.04280563367826576,0.6827074202508989,1.112498359193902,0.6603900240248878,0.7083977989193303,1.1803962431033062,-1.6051466968451302,-0.17393011907787834,1,,,,,
-0.7108655625723472,-0.13916822998664502,-0.5974353125523673,0.576322906786756,0.30047202920055643,0.3584991149427356,-0.39949859950722283,0.3428189583652756,0,,,,,
-1.2422284496657496,-1.4035282410483765,-1.5671017311507558,-0.14795224561103862,0.10304438377449275,-0.1921541071301987,-0.15971080444391894,0.3528414801365851,0,,,,,
-0.5551895562620311,-0.7170914373243318,-1.0181919089068838,0.010692250591310525,-0.13234905927395768,-0.9071406785185053,0.6082591063187316,0.7394404085137467,0,,,,,
0.41026124617168885,-0.6672250657072885,-0.9860983251880632,0.3162100640981603,-0.024516064063759058,-1.408577458546685,0.6108265319721742,0.07839821027779917,0,,,,,
-0.5077129632409939,2.786380835187226,0.9119711704174658,0.48333544013962465,0.03461380512575606,-0.27017496745090136,-0.9701495349990233,0.14087961839450377,1,,,,,
-0.4038878049538741,0.9496165684133401,-0.4077318964890392,0.5295849255442404,0.24759537899131098,0.660814071938471,-1.218386051395587,0.3161419522338602,1,,,,,
0.8322794672895052,0.045912952951358346,-0.8931180290559529,0.6777193560010445,0.32578338524144723,-0.4267064468666415,-0.5426577600931825,-0.39968221959412736,1,,,,,
-0.17806236562209912,0.9552742879249234,-0.41349688703649445,0.8904136154263533,0.357251427377831,0.10142948104016634,-0.9618070038341362,-0.050910063675071254,0,,,,,
