playerA_market_prob,bookie_margin,log_target,playerA_points_won_pct,minutes,playerA,playerB,pseudo_date
0.7579141443050392,0.7737060926750878,1,0.512,121.0,Ivan Ljubicic,Nicolas Lapentti,2003-10-24
1.0741317601000395,-0.4897481964843765,0,0.4946,145.0,Sebastien Grosjean,Alex Corretja,2003-10-24
-0.3456208006122066,0.410246639629215,0,0.4713,89.0,Davide Sanguinetti,Robin Soderling,2003-10-25
-0.9559300182690295,-0.957053207543356,1,0.5872,72.0,Sargis Sargsian,Rainer Schuettler,2003-10-25
-0.4885179739306471,0.3842852501259388,1,0.531,95.0,David Nalbandian,Andy Roddick,2003-10-25
0.41772668008242964,1.0419737842089472,1,0.5391,77.0,Guillermo Coria,Ivan Ljubicic,2003-10-25
0.5043869013207097,0.3842852501259388,1,0.544,80.0,Mardy Fish,Thomas Enqvist,2003-10-25
0.41772668008242964,1.0419737842089472,1,0.5289,84.0,Gustavo Kuerten,Alex Corretja,2003-10-25
-0.7420452169149768,0.7737060926750878,0,0.4976,124.0,Robin Soderling,Mardy Fish,2003-10-26
0.36148972800226925,0.410246639629215,1,0.5882,78.0,Gustavo Kuerten,Sargis Sargsian,2003-10-26
-0.25711674487949515,0.6179377556554282,1,0.5547,90.0,Guillermo Coria,David Nalbandian,2003-10-26
-0.4885179739306471,0.3842852501259388,1,0.5231,120.0,Nicolas Mahut,Jarkko Nieminen,2003-10-27
-0.4885179739306471,0.3842852501259388,1,0.5318,111.0,Fabrice Santoro,Max Mirnyi,2003-10-27
0.00793446369503132,1.9160072308192613,0,0.4476,102.0,Paul Henri Mathieu,Hicham Arazi,2003-10-27
-0.6609164991599913,0.39293904662703005,1,0.5396,78.0,Karol Beck,Robby Ginepri,2003-10-27
0.17664531993551238,0.8688978541871026,0,0.4722,93.0,Karol Kucera,Andrei Pavel,2003-10-27
0.41772668008242964,1.0419737842089472,1,0.5115,149.0,Albert Costa,Mariano Zabaleta,2003-10-27
0.41772668008242964,1.0419737842089472,0,0.4435,61.0,Fernando Gonzalez,James Blake,2003-10-27
-1.3477448483357206,0.8775516506881951,0,0.4167,74.0,Nikolay Davydenko,Tim Henman,2003-10-27
-0.6609164991599913,0.39293904662703005,1,0.6552,45.0,Thierry Ascione,Juan Ignacio Chela,2003-10-27
-0.3456208006122066,0.410246639629215,0,0.4879,131.0,Radek Stepanek,Gregory Carraz,2003-10-27
-0.6609164991599913,0.39293904662703005,0,0.4862,106.0,Richard Gasquet,Gaston Gaudio,2003-10-27
-0.5682638158148089,-0.195519115447241,1,0.4951,120.0,Victor Hanescu,Wayne Ferreira,2003-10-27
0.41772668008242964,1.0419737842089472,1,0.5448,68.0,Feliciano Lopez,Mikhail Youzhny,2003-10-28
-0.16077639254545,0.8688978541871026,0,0.4507,82.0,Mardy Fish,Gustavo Kuerten,2003-10-28
-0.16077639254545,0.8688978541871026,1,0.595,62.0,Dominik Hrbaty,Vincent Spadea,2003-10-28
-0.25711674487949515,0.6179377556554282,0,0.4599,91.0,Agustin Calleri,Jonas Bjorkman,2003-10-28
1.5300198388482256,0.15063274459644815,1,0.5177,89.0,Juan Carlos Ferrero,Nicolas Mahut,2003-10-28
-0.4885179739306471,0.3842852501259388,1,0.5,77.0,Hicham Arazi,Younes El Aynaoui,2003-10-28
0.41772668008242964,1.0419737842089472,1,0.5215,129.0,Nicolas Massu,Albert Costa,2003-10-28
